ComponentName,ApmtLength,ApmtDepth,ApmtHeight,Length,Depth,Height,ProxZpos,ProxZneg,ProxYpos,ProxYneg,ProxXpos,ProxXneg,TopArea,SidesArea,NumberOfFaces,ClashCount
ExteriorWall,1.66,39.98,1.06,6.97,0.2,3.67,0,0.23,0.83,0.2,11.34,0,1.39,52.6,10,9
ExteriorWall,1.66,39.98,1.06,6.97,0.2,3.67,0,0.23,0.83,0.2,0.63,10.71,1.39,52.6,10,8
ExteriorWall,1.06,39.98,1.06,10.91,0.2,3.67,0,0.23,7.8,0,0.63,0,2.18,81.52,6,7
ExteriorWall,1.06,39.98,1.06,10.91,0.2,3.67,0,0.23,0.63,7.17,0.63,0,2.18,81.52,18,15
InteriorDoor,12.54,199.9,1.66,0.92,0.04,2.35,1.32,0.23,4.54,3.42,7.54,3.08,0.04,4.51,6,3
InteriorDoor,12.54,199.9,1.66,0.92,0.04,2.35,1.32,0.23,4.54,3.42,6.26,4.36,0.04,4.51,6,3
InteriorDoor,12.54,199.9,1.66,0.92,0.04,2.35,1.32,0.23,4.79,2.29,5.13,6.37,0.04,4.51,6,3
InteriorDoor,12.54,199.9,1.66,0.92,0.04,2.35,1.32,0.23,5.91,2.04,5.87,4.75,0.04,4.51,6,3
InteriorDoor,12.54,199.9,1.66,0.92,0.04,2.35,1.32,0.23,5.91,2.04,7.05,3.57,0.04,4.51,6,3
InteriorDoor,12.54,199.9,1.66,0.92,0.04,2.35,1.32,0.23,5.91,2.04,9.4,1.21,0.04,4.51,6,3
InteriorDoor,16.02,199.9,1.66,0.72,0.04,2.35,1.32,0.23,5.91,2.04,10.49,0.33,0.03,3.57,6,4
ExteriorDoor,11.42,199.9,1.66,1.01,0.04,2.35,1.32,0.23,4.64,2.34,11.42,0.08,0.04,4.93,6,3
Window,1.76,199.9,1.5,6.57,0.04,2.6,0.52,0.78,1.03,0.4,0.71,10.79,0.26,34.35,6,2
Window,3.02,199.9,1.5,3.82,0.04,2.6,0.52,0.78,0.71,7.25,1.03,6.69,0.15,20.07,6,2
Window,3.36,199.9,1.5,3.43,0.04,2.6,0.52,0.78,0.71,7.25,7.71,0.4,0.14,18.03,6,2
Window,6.95,199.9,1.5,1.66,0.04,2.6,0.52,0.78,0.71,7.25,5.45,4.43,0.07,8.83,6,2
Railing,3.02,266.53,3.9,3.82,0.03,1,2.67,0.23,0,7.97,1.03,6.69,0.11,7.7,6,4
Railing,18.31,266.53,3.9,0.63,0.03,1,2.67,0.23,0,7.37,1.03,10.48,0.02,1.32,6,5
Railing,18.31,266.53,3.9,0.63,0.03,1,2.67,0.23,0,7.37,4.82,6.69,0.02,1.32,6,5
Railing,1.76,266.53,3.9,6.57,0.03,1,2.67,0.23,1.03,0.4,0,11.51,0.2,13.19,6,4
Railing,18.31,266.53,3.9,0.63,0.03,1,2.67,0.23,1.03,6.94,0,10.91,0.02,1.32,6,4
