ComponentName,ApmtLength,ApmtDepth,ApmtHeight,Length,Depth,Height,ProxZpos,ProxZneg,ProxYpos,ProxYneg,ProxXpos,ProxXneg,TopArea,SidesArea,NumberOfFaces,ClashCount
Railing,22.2,386.4,4.03,0.71,0.03,1,2.76,0.27,15.05,0,3.2,8.37,0.02,1.48,6,4
Railing,10.51,386.4,4.03,1.5,0.03,1,2.76,0.27,15.73,0,5.19,4.9,0.04,3.05,6,4
Railing,22.2,386.4,4.03,0.71,0.03,1,2.76,0.27,15.05,0,6.66,4.9,0.02,1.48,6,4
Railing,22.2,386.4,4.03,0.71,0.03,1,2.76,0.27,15.05,0,5.19,6.37,0.02,1.48,6,4
Railing,1.56,386.4,4.03,10.08,0.03,1,2.76,0.27,0,15.73,0.4,1.11,0.3,20.22,6,4
Railing,22.2,386.4,4.03,0.71,0.03,1,2.76,0.27,0.03,15.02,0.37,11.19,0.02,1.48,6,5
Railing,22.2,386.4,4.03,0.71,0.03,1,2.76,0.27,0.03,15.02,10.48,1.08,0.02,1.48,6,5
Railing,5.38,386.4,4.03,2.93,0.03,1,2.76,0.27,6.63,6.21,11.56,0,0.09,5.92,6,4
Railing,22.2,386.4,4.03,0.71,0.03,1,2.76,0.27,9.53,6.21,10.88,0,0.02,1.48,6,4
Railing,22.2,386.4,4.03,0.71,0.03,1,2.76,0.27,6.63,9.1,10.88,0,0.02,1.48,6,4
BalconyFloor,1.56,16.33,14.93,10.08,0.71,0.27,3.76,0,0.03,15.02,0.4,1.11,7.16,5.83,6,6
BalconyFloor,7.16,16.33,14.93,2.2,0.71,0.27,3.76,0,15.05,0,0.4,9,1.56,1.57,6,5
BalconyFloor,4.94,16.33,14.93,3.19,0.71,0.27,3.76,0,15.05,0,7.29,1.11,2.27,2.11,6,5
BalconyFloor,11.26,16.33,14.93,1.4,0.71,0.27,3.76,0,15.05,0,3.2,7,0.99,1.14,6,5
BalconyFloor,10.51,16.33,14.93,1.5,0.71,0.27,3.76,0,15.05,0,5.19,4.9,1.06,1.19,6,5
BalconyFloor,5.38,16.33,14.93,2.93,0.71,0.27,3.76,0,6.63,6.21,10.88,0,2.08,1.96,6,5
BathroomFloor,4.6,4.46,14.93,3.43,2.6,0.27,3.76,0,6.38,5.96,4.94,4.06,8.9,3.25,6,4
BathroomFloor,4.53,6.1,14.93,3.48,1.9,0.27,3.76,0,11.38,0.91,2.95,6.75,6.59,2.9,6,4
Floor,1.1,1.07,14.93,14.31,10.88,0.27,3.76,0,0.74,0.71,0,0.71,155.74,13.6,22,53
InteriorWall,4.47,120.35,1.09,3.48,0.1,3.18,0,0.28,0.8,11.27,4.64,7.3,0.35,22.74,6,4
InteriorWall,15.54,120.35,1.09,1,0.1,3.18,0,0.28,3.69,11.75,10.83,0.2,0.1,7.03,6,4
InteriorWall,7.58,120.35,1.09,2.05,0.1,3.18,0,0.28,5.84,9.6,9.78,0.2,0.21,13.71,10,5
InteriorWall,7.58,120.35,1.09,2.05,0.1,3.18,0,0.28,7.12,8.32,9.78,0.2,0.21,13.71,6,4
InteriorWall,7.54,120.35,1.09,2.06,0.1,3.18,0,0.28,7.22,6.27,9.05,2.89,0.21,13.71,10,5
InteriorWall,4.53,120.35,1.09,3.43,0.1,3.18,0,0.28,5.85,6.27,4.01,7.93,0.34,22.44,6,5
InteriorWall,4.47,120.35,1.09,3.48,0.1,3.18,0,0.28,0.8,11.27,6.85,5.09,0.35,22.74,6,5
InteriorWall,4.34,120.35,1.09,3.58,0.1,3.18,0,0.28,0.8,11.17,8.95,2.99,0.36,23.38,10,6
InteriorWall,21.29,120.35,1.09,0.73,0.1,3.18,0,0.28,4.28,11.17,4.64,6.67,0.07,5.28,6,3
InteriorWall,26.34,120.35,1.09,0.59,0.1,3.18,0,0.28,3.69,11.27,10.73,1.2,0.06,4.38,6,4
InteriorWall,2.57,120.35,1.09,6.05,0.1,3.18,0,0.28,9.27,6.17,0.8,5.19,0.6,39.08,10,7
InteriorWall,3.11,120.35,1.09,5,0.1,3.18,0,0.28,4.38,6.17,6.85,5.09,0.5,32.42,10,7
InteriorWall,24.67,120.35,1.09,0.63,0.1,3.18,0,0.28,7.12,8.32,9.05,2.36,0.06,4.64,6,4
InteriorWall,11.34,120.35,1.09,1.37,0.1,3.18,0,0.28,5.84,8.32,9.68,2.26,0.14,9.37,6,5
InteriorWall,3.18,120.35,1.09,4.89,0.1,3.18,0,0.28,9.27,6.17,6.95,0.2,0.49,31.74,10,6
InteriorWall,2.57,120.35,1.09,6.05,0.1,3.18,0,0.28,5.75,9.7,0.8,5.19,0.6,39.08,10,6
InteriorWall,5.69,120.35,1.09,2.73,0.1,3.18,0,0.28,4.28,11.17,6.22,3.09,0.27,18,6,6
InteriorWall,5.57,120.35,1.09,2.79,0.1,3.18,0,0.28,4.28,11.17,9.05,0.2,0.28,18.38,14,7
ExteriorWall,1.41,60.18,1.09,11.03,0.2,3.18,0,0.28,0.6,14.74,0.8,0.2,2.21,71.45,22,23
ExteriorWall,1.38,60.18,1.09,11.24,0.2,3.18,0,0.28,14.71,0.63,0.8,0,2.25,72.73,10,5
ExteriorWall,1.1,60.18,1.09,14.11,0.2,3.18,0,0.28,0.6,0.83,11.84,0,2.82,91.02,10,10
ExteriorWall,1.09,60.18,1.09,14.31,0.2,3.18,0,0.28,0.6,0.63,0.6,11.24,2.86,92.3,18,9
InteriorDoor,16.89,300.88,1.8,0.92,0.04,1.92,1.26,0.28,5.78,9.73,4.96,6.15,0.04,3.69,6,3
InteriorDoor,16.89,300.88,1.8,0.92,0.04,1.92,1.26,0.28,4.65,9.97,6.87,5.12,0.04,3.69,6,3
InteriorDoor,16.89,300.88,1.8,0.92,0.04,1.92,1.26,0.28,9.3,6.2,8.01,3.11,0.04,3.69,6,3
InteriorDoor,16.89,300.88,1.8,0.92,0.04,1.92,1.26,0.28,3.18,11.44,8.98,3.02,0.04,3.69,6,3
InteriorDoor,16.89,300.88,1.8,0.92,0.04,1.92,1.26,0.28,7.49,7.13,9.08,2.92,0.04,3.69,6,3
InteriorDoor,16.89,300.88,1.8,0.92,0.04,1.92,1.26,0.28,4.31,11.2,9.16,1.95,0.04,3.69,6,3
InteriorDoor,16.89,300.88,1.8,0.92,0.04,1.92,1.26,0.28,5.87,9.63,10.11,1.01,0.04,3.69,6,3
InteriorDoor,16.89,300.88,1.8,0.92,0.04,1.92,1.26,0.28,9.3,6.2,0.97,10.14,0.04,3.69,6,3
InteriorDoor,21.59,300.88,1.8,0.72,0.04,1.92,1.26,0.28,4.31,11.2,10.95,0.37,0.03,2.92,6,3
ExteriorDoor,15.39,300.88,1.8,1.01,0.04,1.92,1.26,0.28,4.61,9.93,11.92,0.08,0.04,4.02,6,3
Window,3.18,300.88,1.77,4.89,0.04,1.96,0.52,0.98,9.62,1.03,0.68,11.32,0.2,19.32,6,2
Window,1.46,300.88,1.77,10.64,0.04,1.96,0.52,0.98,14.79,0.71,1,0.4,0.43,41.85,6,2
Window,4.58,300.88,1.77,3.39,0.04,1.96,0.52,0.98,0.68,14.82,1,7.65,0.14,13.45,6,2
Window,9.65,300.88,1.77,1.61,0.04,1.96,0.52,0.98,0.68,14.82,4.99,5.44,0.06,6.45,6,2
Window,3.45,300.88,1.77,4.5,0.04,1.96,0.52,0.98,1,10.05,0.68,11.32,0.18,17.78,6,2
Window,5.3,300.88,1.77,2.93,0.04,1.96,0.52,0.98,6.1,6.52,0.68,11.32,0.12,11.63,6,2
Window,6.64,300.88,1.77,2.34,0.04,1.96,0.52,0.98,0.68,14.82,9.29,0.4,0.09,9.33,6,2
Window,10.36,300.88,1.77,1.5,0.04,1.96,0.52,0.98,0.68,14.82,7.19,3.34,0.06,6.04,6,2
Railing,1.46,401.17,3.46,10.64,0.03,1,2.18,0.28,15.51,0,1,0.4,0.32,21.33,6,4
Railing,25.9,401.17,3.46,0.6,0.03,1,2.18,0.28,14.91,0.03,11.64,0.37,0.02,1.26,6,4
Railing,25.9,401.17,3.46,0.6,0.03,1,2.18,0.28,14.91,0.03,0.97,11.04,0.02,1.26,6,4
Railing,6.64,401.17,3.46,2.34,0.03,1,2.18,0.28,0,15.51,9.3,0.4,0.07,4.74,6,4
Railing,25.9,401.17,3.46,0.6,0.03,1,2.18,0.28,0,14.94,11.61,0.4,0.02,1.26,6,5
Railing,25.9,401.17,3.46,0.6,0.03,1,2.18,0.28,0,14.94,9.3,2.71,0.02,1.26,6,5
Railing,10.36,401.17,3.46,1.5,0.03,1,2.18,0.28,0,15.51,7.2,3.34,0.05,3.06,6,4
Railing,25.9,401.17,3.46,0.6,0.03,1,2.18,0.28,0,14.94,8.67,3.34,0.02,1.26,6,5
